id_registro,fecha,finca,zona,producto,cantidad,unidad,precio_unitario,turno,observacion
58,2026-01-08,La Esperanza,occidente,queso,37.07,kilos,8345,manana,normal
59,2026-01-23,La Pradera,centro,leche,36.71,litros,2436,noche,revisar registro
60,2026-03-05,La Pradera,sur,queso,22.41,kilos,7823,noche,lluvia
61,2026-04-28,El Progreso,occidente,maiz,119.73,kilos,1232,tarde,normal
62,2026-01-17,La Esperanza,centro,yuca,163.3,kilos,999,manana,normal
63,2026-03-23,San Miguel,norte,leche,28.03,litros,1887,manana,revisar registro
64,2026-04-17,La Pradera,occidente,yuca,62.82,kilos,1050,manana,normal
65,2026-01-21,La Esperanza,norte,huevo,24,unidades,464,tarde,revisar registro
66,2026-05-12,La Esperanza,centro,maiz,298.47,kilos,1433,noche,revisar registro
67,2026-05-15,San Miguel,oriente,yuca,42.5,kilos,1581,tarde,normal
68,2026-01-07,El Porvenir,occidente,huevo,122,unidades,548,tarde,normal
69,2026-05-08,La Pradera,centro,queso,31.42,kilos,7635,noche,normal
70,2026-03-10,El Progreso,norte,huevo,38,unidades,408,tarde,normal
71,2026-04-10,San Miguel,oriente,huevo,28,unidades,555,manana,lluvia
72,2026-05-29,El Porvenir,sur,huevo,145,unidades,638,noche,normal
73,2026-01-19,Buenos Aires,norte,maiz,243.67,kilos,1206,noche,normal
74,2026-03-12,La Pradera,sur,huevo,42,unidades,458,manana,revisar registro
75,2026-05-13,Buenos Aires,oriente,maiz,265.85,kilos,1464,manana,normal
76,2026-03-03,San Miguel,oriente,maiz,152.29,kilos,1596,noche,baja produccion
77,2026-01-22,Buenos Aires,centro,queso,21.41,kilos,7007,manana,normal
78,2026-02-15,San Miguel,oriente,yuca,174.23,kilos,1476,tarde,lluvia
79,2026-02-19,Buenos Aires,sur,huevo,97,unidades,641,tarde,revisar registro
80,2026-03-26,La Pradera,oriente,huevo,45,unidades,589,tarde,lluvia
81,2026-04-07,La Pradera,centro,huevo,40,unidades,548,manana,revisar registro
82,2026-05-08,El Porvenir,occidente,maiz,344.0,kilos,1721,tarde,baja produccion
83,2026-02-21,La Esperanza,centro,queso,24.37,kilos,7003,noche,baja produccion
84,2026-05-24,La Pradera,centro,queso,30.21,kilos,7573,tarde,baja produccion
85,2026-01-25,El Porvenir,oriente,leche,20.85,litros,2140,manana,normal
86,2026-04-16,La Pradera,occidente,queso,9.58,kilos,9205,manana,lluvia
87,2026-03-31,El Progreso,occidente,yuca,48.36,kilos,1134,tarde,normal
88,2026-05-29,La Pradera,centro,leche,40.49,litros,2112,manana,normal
89,2026-05-14,La Esperanza,centro,queso,23.65,kilos,9242,tarde,lluvia
90,2026-03-01,La Pradera,sur,huevo,172,unidades,665,manana,lluvia
91,2026-03-05,La Esperanza,oriente,yuca,208.81,kilos,995,manana,revisar registro
92,2026-03-03,San Miguel,sur,leche,29.36,litros,2687,tarde,normal
93,2026-05-09,La Esperanza,occidente,maiz,302.12,kilos,1332,manana,normal
94,2026-05-23,El Porvenir,centro,queso,17.41,kilos,8791,manana,lluvia
95,2026-02-25,El Porvenir,norte,huevo,52,unidades,394,tarde,baja produccion
96,2026-03-03,San Miguel,oriente,huevo,132,unidades,365,tarde,revisar registro
97,2026-02-12,La Esperanza,centro,leche,9.2,litros,2389,manana,normal
98,2026-03-20,El Progreso,oriente,leche,8.88,litros,1980,tarde,lluvia
99,2026-04-27,El Porvenir,sur,queso,10.07,kilos,7602,noche,baja produccion
100,2026-01-25,Buenos Aires,occidente,queso,30.33,kilos,7381,manana,normal
101,2026-01-29,El Progreso,norte,queso,8.03,kilos,6680,manana,normal
102,2026-01-05,El Porvenir,oriente,yuca,154.53,kilos,1595,manana,revisar registro
103,2026-01-24,El Progreso,occidente,leche,25.76,litros,2596,noche,normal
104,2026-04-20,La Esperanza,sur,yuca,106.3,kilos,1497,manana,normal
105,2026-01-15,El Progreso,oriente,huevo,127,unidades,497,manana,baja produccion
106,2026-03-11,La Esperanza,centro,queso,5.76,kilos,8732,manana,lluvia
107,2026-01-07,Buenos Aires,norte,queso,21.6,kilos,8428,manana,revisar registro
108,2026-01-23,Buenos Aires,oriente,leche,9.46,litros,2547,tarde,revisar registro
109,2026-03-17,El Progreso,centro,queso,7.77,kilos,8867,tarde,lluvia
110,2026-05-24,La Pradera,norte,huevo,51,unidades,636,noche,normal
111,2026-04-29,El Progreso,norte,yuca,89.54,kilos,1442,noche,revisar registro
112,2026-01-24,Buenos Aires,norte,huevo,112,unidades,466,noche,normal
113,2026-05-06,La Esperanza,occidente,leche,35.85,litros,2065,tarde,baja produccion
114,2026-01-07,La Esperanza,sur,queso,32.8,kilos,8045,noche,normal
115,2026-02-09,La Esperanza,centro,maiz,147.65,kilos,1839,noche,revisar registro
116,2026-02-17,La Pradera,oriente,huevo,118,unidades,622,noche,normal
117,2026-03-22,El Porvenir,norte,huevo,93,unidades,692,manana,lluvia
118,2026-02-10,La Esperanza,occidente,huevo,127,unidades,571,manana,normal
119,2026-03-03,La Esperanza,occidente,maiz,184.51,kilos,1236,noche,normal
120,2026-03-08,San Miguel,oriente,huevo,118,unidades,522,tarde,normal
121,2026-04-06,Buenos Aires,sur,yuca,94.07,kilos,1281,manana,normal
122,2026-03-26,San Miguel,norte,yuca,220.72,kilos,948,manana,normal
123,2026-03-24,San Miguel,sur,huevo,74,unidades,601,noche,revisar registro
124,2026-04-08,La Pradera,sur,huevo,168,unidades,672,manana,normal
125,2026-01-22,Buenos Aires,centro,huevo,161,unidades,468,manana,lluvia
126,2026-01-10,San Miguel,oriente,yuca,230.57,kilos,1292,manana,normal
127,2026-05-22,La Esperanza,oriente,queso,16.59,kilos,8203,noche,lluvia
128,2026-05-18,El Porvenir,norte,huevo,37,unidades,482,tarde,baja produccion
129,2026-01-18,La Pradera,norte,leche,31.42,litros,2622,manana,normal
130,2026-04-06,El Progreso,oriente,huevo,159,unidades,431,noche,lluvia
131,2026-03-22,El Porvenir,sur,maiz,309.49,kilos,1377,manana,normal
132,2026-05-31,San Miguel,centro,huevo,177,unidades,352,tarde,revisar registro
133,2026-05-30,La Esperanza,norte,maiz,122.32,kilos,1561,noche,lluvia
134,2026-03-21,San Miguel,sur,leche,44.31,litros,1926,noche,baja produccion
135,2026-05-18,San Miguel,centro,leche,27.54,litros,2181,tarde,baja produccion
136,2026-02-22,La Pradera,centro,huevo,79,unidades,623,manana,lluvia
137,2026-01-18,Buenos Aires,occidente,yuca,105.92,kilos,1403,manana,lluvia
138,2026-03-01,El Porvenir,centro,huevo,169,unidades,397,noche,normal
139,2026-02-08,El Porvenir,centro,leche,15.09,litros,2020,manana,normal
140,2026-01-04,La Pradera,norte,maiz,293.84,kilos,1721,noche,normal
141,2026-02-13,El Progreso,oriente,queso,29.05,kilos,7670,tarde,normal
142,2026-05-10,San Miguel,sur,queso,36.46,kilos,9692,manana,normal
143,2026-05-10,San Miguel,norte,huevo,137,unidades,522,manana,lluvia
144,2026-05-29,Buenos Aires,norte,leche,40.96,litros,2724,manana,normal
145,2026-03-29,La Esperanza,sur,queso,14.89,kilos,7906,tarde,normal
146,2026-05-24,San Miguel,occidente,huevo,153,unidades,460,noche,revisar registro
147,2026-04-19,Buenos Aires,sur,huevo,30,unidades,445,tarde,lluvia
148,2026-04-23,El Porvenir,sur,leche,30.59,litros,2331,noche,normal
149,2026-04-14,El Progreso,centro,leche,35.98,litros,2444,noche,normal
150,2026-03-12,Buenos Aires,sur,yuca,232.27,kilos,1405,manana,normal
151,2026-04-09,Buenos Aires,occidente,maiz,298.02,kilos,1766,noche,revisar registro
152,2026-03-27,El Progreso,oriente,maiz,206.96,kilos,1558,noche,baja produccion
153,2026-05-10,El Progreso,oriente,leche,8.95,litros,2245,manana,baja produccion
154,2026-01-19,San Miguel,sur,huevo,55,unidades,597,noche,normal
155,2026-02-24,La Esperanza,occidente,queso,13.63,kilos,7116,noche,baja produccion
156,2026-01-10,La Pradera,centro,huevo,108,unidades,495,manana,revisar registro
157,2026-03-29,San Miguel,sur,maiz,139.75,kilos,1594,manana,normal
158,2026-02-15,La Esperanza,oriente,maiz,87.97,kilos,1334,tarde,normal
159,2026-04-01,El Porvenir,occidente,leche,35.18,litros,2594,manana,normal
160,2026-05-15,La Pradera,centro,leche,25.87,litros,2094,noche,baja produccion
161,2026-04-14,San Miguel,sur,yuca,175.75,kilos,1095,tarde,normal
162,2026-02-06,El Porvenir,centro,maiz,173.55,kilos,1352,tarde,revisar registro
163,2026-03-18,La Pradera,norte,leche,31.76,litros,2244,tarde,normal
164,2026-02-18,San Miguel,occidente,yuca,152.64,kilos,985,manana,baja produccion
165,2026-02-21,El Porvenir,oriente,leche,37.27,litros,2403,noche,baja produccion
166,2026-03-05,Buenos Aires,centro,huevo,161,unidades,351,manana,normal
167,2026-01-15,La Esperanza,norte,queso,31.97,kilos,9744,manana,revisar registro
168,2026-01-18,La Esperanza,norte,huevo,140,unidades,555,manana,normal
169,2026-03-12,La Pradera,sur,queso,26.14,kilos,6756,tarde,revisar registro
170,2026-01-06,La Esperanza,sur,maiz,306.63,kilos,1202,tarde,normal
171,2026-01-16,La Esperanza,sur,maiz,244.52,kilos,1576,noche,lluvia
172,2026-03-10,Buenos Aires,sur,queso,38.44,kilos,8024,manana,normal
173,2026-02-08,El Porvenir,norte,yuca,182.57,kilos,1213,manana,revisar registro
174,2026-04-19,San Miguel,oriente,leche,22.45,litros,2545,noche,normal
175,2026-04-14,El Porvenir,centro,leche,31.91,litros,2609,manana,revisar registro
176,2026-02-26,El Porvenir,sur,maiz,240.03,kilos,1540,manana,revisar registro
177,2026-02-06,San Miguel,oriente,huevo,130,unidades,373,manana,normal
178,2026-05-17,La Esperanza,sur,leche,17.31,litros,1954,tarde,normal
179,2026-01-07,San Miguel,oriente,yuca,74.68,kilos,927,noche,lluvia
180,2026-04-30,El Progreso,norte,queso,37.24,kilos,9427,tarde,normal
181,2026-02-07,La Pradera,sur,huevo,115,unidades,521,noche,revisar registro
182,2026-01-21,El Progreso,norte,huevo,33,unidades,523,tarde,normal
183,2026-01-25,La Esperanza,oriente,queso,37.2,kilos,6784,tarde,baja produccion
184,2026-05-02,La Pradera,centro,leche,38.43,litros,2370,manana,baja produccion
185,2026-05-03,La Pradera,norte,queso,29.66,kilos,9453,tarde,lluvia
186,2026-01-10,San Miguel,centro,huevo,35,unidades,676,manana,normal
187,2026-03-16,Buenos Aires,occidente,maiz,240.85,kilos,1383,noche,normal
188,2026-04-26,La Pradera,oriente,queso,15.18,kilos,8401,noche,baja produccion
189,2026-05-23,La Pradera,sur,huevo,159,unidades,518,tarde,normal
190,2026-03-10,La Esperanza,occidente,yuca,203.2,kilos,921,tarde,normal
191,2026-03-24,La Esperanza,occidente,queso,20.29,kilos,6881,noche,normal
192,2026-03-24,La Esperanza,norte,leche,33.54,litros,2769,manana,normal
193,2026-02-16,El Porvenir,sur,queso,16.3,kilos,9132,manana,normal
194,2026-02-05,San Miguel,centro,leche,14.6,litros,1850,noche,normal
195,2026-01-12,Buenos Aires,oriente,queso,9.65,kilos,6557,noche,normal
196,2026-02-03,La Pradera,oriente,huevo,85,unidades,599,tarde,normal
197,2026-04-10,El Progreso,sur,yuca,184.42,kilos,1392,tarde,baja produccion
198,2026-04-11,El Progreso,centro,maiz,168.4,kilos,1852,manana,revisar registro
199,2026-05-31,La Esperanza,norte,leche,27.09,litros,2717,tarde,lluvia
200,2026-01-21,Buenos Aires,sur,queso,11.4,kilos,7482,noche,revisar registro
201,2026-02-15,El Progreso,occidente,queso,33.42,kilos,9514,tarde,lluvia
202,2026-02-12,Buenos Aires,norte,leche,35.99,litros,2502,noche,lluvia
203,2026-01-28,La Esperanza,norte,queso,4.84,kilos,9183,manana,normal
204,2026-03-07,El Porvenir,occidente,leche,30.92,litros,2357,manana,lluvia
205,2026-01-29,El Progreso,norte,yuca,204.71,kilos,1185,noche,lluvia
206,2026-04-08,La Esperanza,occidente,yuca,104.4,kilos,1131,manana,revisar registro
207,2026-03-14,El Porvenir,occidente,leche,21.9,litros,2058,tarde,normal
208,2026-01-14,Buenos Aires,centro,yuca,129.93,kilos,1588,manana,normal
209,2026-05-08,El Porvenir,sur,queso,8.93,kilos,7171,tarde,baja produccion
210,2026-04-09,La Pradera,centro,yuca,82.72,kilos,1369,tarde,normal
211,2026-04-26,San Miguel,occidente,leche,13.4,litros,2693,noche,normal
212,2026-01-16,Buenos Aires,sur,leche,8.82,litros,2466,tarde,normal
213,2026-04-21,El Progreso,centro,leche,35.09,litros,2408,noche,normal
214,2026-04-06,El Progreso,occidente,huevo,75,unidades,397,tarde,normal
215,2026-01-06,El Porvenir,norte,leche,27.76,litros,1866,tarde,lluvia
216,2026-03-16,San Miguel,norte,huevo,34,unidades,481,tarde,normal
217,2026-05-28,Buenos Aires,norte,yuca,149.39,kilos,1016,noche,normal
218,2026-03-11,La Pradera,centro,queso,9.18,kilos,9172,tarde,lluvia
219,2026-03-09,San Miguel,norte,leche,30.33,litros,2136,noche,lluvia
220,2026-02-28,El Progreso,occidente,queso,6.0,kilos,9325,manana,baja produccion
221,2026-03-30,El Progreso,oriente,huevo,170,unidades,390,manana,normal
222,2026-05-02,La Esperanza,occidente,huevo,142,unidades,665,noche,revisar registro
223,2026-04-14,La Pradera,norte,leche,40.52,litros,2395,manana,baja produccion
224,2026-01-31,El Progreso,occidente,yuca,216.71,kilos,943,tarde,lluvia
225,2026-01-31,El Porvenir,occidente,queso,15.59,kilos,7935,noche,revisar registro
226,2026-04-28,La Esperanza,oriente,leche,39.5,litros,2156,noche,revisar registro
227,2026-04-05,La Pradera,norte,maiz,109.58,kilos,1826,manana,baja produccion
228,2026-02-06,La Esperanza,oriente,maiz,88.37,kilos,1331,tarde,normal
229,2026-01-21,San Miguel,oriente,queso,6.42,kilos,8940,noche,normal
230,2026-04-10,Buenos Aires,occidente,leche,9.97,litros,2591,manana,lluvia
231,2026-05-18,San Miguel,norte,huevo,77,unidades,672,tarde,baja produccion
232,2026-01-26,San Miguel,centro,huevo,179,unidades,634,tarde,lluvia
233,2026-03-01,San Miguel,occidente,leche,41.2,litros,2264,manana,lluvia
234,2026-02-08,El Porvenir,sur,huevo,65,unidades,356,tarde,baja produccion
235,2026-01-22,San Miguel,oriente,leche,24.3,litros,2748,manana,baja produccion
236,2026-01-22,La Pradera,occidente,maiz,168.02,kilos,1505,tarde,normal
237,2026-05-27,San Miguel,occidente,queso,19.15,kilos,8962,tarde,normal
238,2026-01-02,El Porvenir,norte,queso,4.51,kilos,7402,noche,lluvia
239,2026-03-11,El Porvenir,oriente,queso,32.35,kilos,7088,tarde,baja produccion
240,2026-04-04,La Esperanza,norte,yuca,64.72,kilos,1000,noche,lluvia
241,2026-03-05,El Porvenir,occidente,queso,10.04,kilos,7012,tarde,baja produccion
242,2026-03-12,Buenos Aires,sur,maiz,100.39,kilos,1315,tarde,normal
243,2026-04-09,Buenos Aires,oriente,huevo,163,unidades,699,manana,revisar registro
244,2026-01-18,San Miguel,oriente,maiz,135.56,kilos,1593,tarde,normal
245,2026-05-08,El Porvenir,centro,huevo,88,unidades,436,tarde,revisar registro
246,2026-01-08,Buenos Aires,occidente,queso,23.75,kilos,8356,tarde,normal
247,2026-03-26,San Miguel,occidente,maiz,75.69,kilos,1532,manana,normal
248,2026-04-13,Buenos Aires,occidente,maiz,300.63,kilos,1614,manana,lluvia
249,2026-01-10,San Miguel,sur,yuca,165.67,kilos,938,tarde,normal
250,2026-02-15,La Esperanza,oriente,yuca,105.16,kilos,1384,tarde,normal
251,2026-02-02,La Pradera,norte,maiz,343.74,kilos,1623,tarde,normal
252,2026-02-13,San Miguel,oriente,leche,43.9,litros,2141,noche,baja produccion
253,2026-03-02,La Esperanza,occidente,leche,43.34,litros,2637,noche,normal
254,2026-05-02,El Porvenir,occidente,yuca,149.86,kilos,1135,tarde,revisar registro
255,2026-03-23,La Esperanza,oriente,queso,28.19,kilos,6679,tarde,normal
256,2026-02-11,La Esperanza,sur,leche,17.06,litros,2104,tarde,normal
257,2026-03-16,El Progreso,sur,leche,38.06,litros,2467,tarde,normal
258,2026-05-27,San Miguel,oriente,yuca,221.04,kilos,1471,tarde,normal
259,2026-04-28,La Esperanza,sur,huevo,129,unidades,630,manana,normal
260,2026-02-27,Buenos Aires,centro,yuca,60.89,kilos,1482,manana,normal
261,2026-03-13,El Porvenir,norte,leche,33.1,litros,1996,manana,normal
262,2026-03-02,El Progreso,occidente,leche,17.58,litros,2314,manana,normal
263,2026-03-24,El Progreso,centro,maiz,228.96,kilos,1455,noche,revisar registro
264,2026-01-24,La Esperanza,sur,queso,37.97,kilos,6817,tarde,lluvia
265,2026-01-19,El Porvenir,centro,queso,17.57,kilos,9657,tarde,revisar registro
266,2026-05-08,Buenos Aires,oriente,leche,29.52,litros,1877,manana,baja produccion
267,2026-03-14,La Esperanza,norte,huevo,133,unidades,590,tarde,revisar registro
268,2026-04-22,La Pradera,sur,yuca,216.59,kilos,1398,noche,revisar registro
269,2026-05-03,San Miguel,norte,huevo,69,unidades,458,noche,normal
270,2026-03-14,La Esperanza,oriente,queso,21.94,kilos,8495,noche,normal
271,2026-03-16,San Miguel,centro,leche,37.07,litros,2154,manana,normal
272,2026-04-15,La Esperanza,occidente,yuca,138.79,kilos,1467,noche,normal
273,2026-05-12,El Porvenir,centro,huevo,75,unidades,493,noche,revisar registro
274,2026-02-22,El Porvenir,occidente,maiz,168.75,kilos,1493,noche,normal
275,2026-02-13,San Miguel,sur,queso,38.0,kilos,6758,manana,lluvia
276,2026-01-13,Buenos Aires,centro,leche,40.24,litros,2750,noche,lluvia
277,2026-01-31,San Miguel,oriente,yuca,140.23,kilos,1599,manana,normal
278,2026-04-20,El Progreso,sur,leche,38.46,litros,2317,manana,normal
279,2026-02-19,El Porvenir,centro,queso,17.11,kilos,9554,tarde,baja produccion
280,2026-03-03,La Pradera,occidente,leche,12.77,litros,2238,noche,baja produccion
281,2026-04-04,San Miguel,sur,leche,8.66,litros,1926,tarde,normal
282,2026-01-04,La Pradera,oriente,huevo,51,unidades,673,tarde,normal
283,2026-01-03,San Miguel,centro,huevo,65,unidades,404,noche,normal
284,2026-01-29,Buenos Aires,centro,maiz,333.37,kilos,1825,manana,baja produccion
285,2026-01-15,San Miguel,centro,queso,20.83,kilos,8240,tarde,normal
286,2026-03-19,El Progreso,occidente,huevo,105,unidades,362,manana,revisar registro
287,2026-02-10,Buenos Aires,norte,queso,29.35,kilos,7555,noche,revisar registro
288,2026-05-08,La Pradera,occidente,leche,21.87,litros,2294,tarde,lluvia
289,2026-01-21,El Progreso,occidente,huevo,77,unidades,635,tarde,revisar registro
290,2026-04-08,La Pradera,norte,huevo,26,unidades,360,manana,normal
291,2026-03-26,San Miguel,norte,yuca,134.71,kilos,1101,tarde,baja produccion
292,2026-02-10,La Pradera,norte,queso,13.37,kilos,7142,manana,revisar registro
293,2026-02-17,La Esperanza,oriente,maiz,338.01,kilos,1893,noche,normal
294,2026-05-14,San Miguel,norte,huevo,155,unidades,641,manana,normal
295,2026-03-17,El Progreso,occidente,queso,18.69,kilos,9446,noche,baja produccion
296,2026-02-24,El Porvenir,norte,maiz,198.39,kilos,1409,noche,normal
297,2026-05-08,La Pradera,occidente,yuca,212.81,kilos,1284,manana,lluvia
298,2026-02-04,El Porvenir,centro,queso,14.26,kilos,8970,manana,revisar registro
299,2026-02-25,La Pradera,norte,maiz,275.22,kilos,1826,tarde,baja produccion
300,2026-01-22,El Porvenir,occidente,queso,28.31,kilos,9018,tarde,revisar registro
301,2026-02-18,La Pradera,norte,maiz,320.1,kilos,1866,noche,normal
302,2026-01-07,La Esperanza,occidente,huevo,180,unidades,444,manana,normal
303,2026-05-01,El Progreso,oriente,maiz,152.93,kilos,1546,tarde,normal
304,2026-01-12,El Progreso,occidente,queso,31.3,kilos,7212,noche,baja produccion
305,2026-04-29,El Progreso,occidente,yuca,136.68,kilos,975,tarde,revisar registro
306,2026-03-14,San Miguel,centro,maiz,159.56,kilos,1612,tarde,revisar registro
307,2026-05-21,Buenos Aires,centro,yuca,82.08,kilos,1311,noche,lluvia
308,2026-01-07,La Esperanza,norte,queso,32.5,kilos,8494,tarde,lluvia
309,2026-04-29,El Progreso,norte,maiz,273.29,kilos,1382,noche,baja produccion
310,2026-01-17,La Esperanza,oriente,maiz,96.9,kilos,1900,tarde,normal
311,2026-03-11,Buenos Aires,oriente,queso,15.31,kilos,9482,noche,normal
312,2026-02-04,La Pradera,norte,leche,14.53,litros,2005,manana,normal
313,2026-04-18,El Progreso,sur,yuca,180.02,kilos,1571,manana,revisar registro
314,2026-02-15,El Progreso,oriente,leche,19.36,litros,2364,tarde,baja produccion
315,2026-04-24,El Progreso,oriente,huevo,149,unidades,505,manana,revisar registro
316,2026-02-05,El Porvenir,oriente,maiz,294.19,kilos,1315,tarde,revisar registro
317,2026-02-17,San Miguel,sur,yuca,198.51,kilos,1248,tarde,baja produccion
318,2026-03-05,El Progreso,centro,queso,33.36,kilos,6857,manana,normal
319,2026-03-28,El Progreso,norte,maiz,170.74,kilos,1240,manana,normal
320,2026-03-31,La Pradera,oriente,queso,34.67,kilos,9547,noche,normal
321,2026-05-19,El Progreso,centro,leche,39.8,litros,2034,noche,normal
322,2026-05-28,La Esperanza,centro,huevo,160,unidades,449,tarde,normal
323,2026-01-04,La Esperanza,centro,leche,24.01,litros,2337,noche,baja produccion
324,2026-01-04,El Porvenir,norte,leche,38.37,litros,2100,tarde,baja produccion
325,2026-02-04,El Porvenir,oriente,yuca,218.1,kilos,1104,manana,normal
326,2026-04-03,El Progreso,sur,queso,28.0,kilos,6747,noche,normal
327,2026-04-11,La Esperanza,sur,leche,20.59,litros,2101,tarde,lluvia
328,2026-03-07,La Pradera,centro,maiz,293.21,kilos,1627,tarde,baja produccion
329,2026-02-11,La Pradera,norte,yuca,101.79,kilos,1085,noche,normal
330,2026-03-28,El Porvenir,occidente,huevo,128,unidades,571,manana,lluvia
331,2026-03-14,La Pradera,oriente,leche,30.32,litros,2510,tarde,baja produccion
332,2026-03-29,El Porvenir,norte,queso,10.6,kilos,9438,tarde,normal
333,2026-02-02,La Esperanza,occidente,maiz,324.99,kilos,1744,noche,lluvia
334,2026-01-28,Buenos Aires,oriente,yuca,199.32,kilos,1557,manana,normal
335,2026-01-07,Buenos Aires,sur,leche,32.37,litros,2541,noche,normal
336,2026-03-17,El Progreso,oriente,queso,30.29,kilos,6996,manana,lluvia
337,2026-03-24,La Esperanza,centro,queso,6.03,kilos,8966,manana,lluvia
338,2026-04-06,La Esperanza,oriente,queso,27.84,kilos,9501,manana,baja produccion
339,2026-03-19,La Esperanza,centro,huevo,165,unidades,681,tarde,normal
340,2026-02-13,El Progreso,oriente,huevo,149,unidades,553,manana,revisar registro
341,2026-04-25,San Miguel,centro,maiz,152.24,kilos,1334,tarde,normal
342,2026-05-21,La Pradera,sur,maiz,289.26,kilos,1750,manana,baja produccion
343,2026-03-16,El Progreso,occidente,leche,34.64,litros,2584,manana,normal
